//////////////////////////////////////////////////////////////////////
crop+affine+minmax / image / 2D / cpu
//////////////////////////////////////////////////////////////////////

         5292 function calls (5287 primitive calls) in 0.061 seconds

   Ordered by: cumulative time
   List reduced from 119 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.015    0.003 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:421(<listcomp>)
        5    0.001    0.000    0.014    0.003 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:288(transform_points)
        5    0.002    0.000    0.011    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:326(freeze)
      575    0.002    0.000    0.010    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:79(to_tensor)
       10    0.002    0.000    0.009    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:62(transform_grid)
       35    0.002    0.000    0.008    0.000 D:\Brett\code\AugMed\augmed\utils\geometry.py:75(fov)
      330    0.008    0.000    0.008    0.000 {built-in method torch.tensor}
       10    0.000    0.000    0.007    0.001 D:\Brett\code\AugMed\augmed\transforms\transform.py:217(freeze)
        5    0.000    0.000    0.007    0.001 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:111(get_affine_backward_transform)
       20    0.001    0.000    0.007    0.000 D:\Brett\code\AugMed\augmed\utils\geometry.py:100(fov_centre)
        5    0.000    0.000    0.006    0.001 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:15(__init__)
        5    0.000    0.000    0.006    0.001 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:164(get_affine_transform)
       50    0.002    0.000    0.006    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:135(create_translation)
       80    0.002    0.000    0.005    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:29(affine_spacing)
        5    0.000    0.000    0.005    0.001 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:91(__create_transforms)
